Key,Value
metadata.version,1.3.0
metadata.last_updated,2026-05-17
metadata.author,Fadhil Akbar Cariearsa
metadata.license,MIT
metadata.category,Arabic Fictional Names
metadata.description,A 100% fictional and copyright-free Arabic naming dataset for universal use.
people.full_names,Aabid Al-Fakhir
people.full_names,Aamir Al-Faheem
people.full_names,Aatik Al-Halim
people.full_names,Abbas Mansour
people.full_names,Abdelrahman Al-Fayed
people.full_names,Abdullah Al-Kaabi
people.full_names,Abeer Al-Mahdi
people.full_names,Adel Al-Fayegh
people.full_names,Adham Al-Akkad
people.full_names,Adnan Al-Tayeb
people.full_names,Afaf Al-Khayyat
people.full_names,Ahmad Al-Rashid
people.full_names,Aisha Al-Hassan
people.full_names,Akram Al-Saidi
people.full_names,Ali Al-Mansoori
people.full_names,Alia Al-Madani
people.full_names,Amal Al-Mutairi
people.full_names,Amani Al-Kahali
people.full_names,Amin Al-Baghdadi
people.full_names,Amina Al-Ghazali
people.full_names,Amir Al-Jabari
people.full_names,Amira Al-Zahrani
people.full_names,Ammar Al-Kassem
people.full_names,Anas Al-Masri
people.full_names,Anwar Al-Khatib
people.full_names,Aref Al-Kattan
people.full_names,Asad Al-Farsi
people.full_names,Asim Al-Bustani
people.full_names,Asma Al-Tamimi
people.full_names,Aya Al-Zayani
people.full_names,Ayman Al-Hakim
people.full_names,Ayoub Al-Darwish
people.full_names,Aza Al-Ahmar
people.full_names,Aziz Al-Nasser
people.full_names,Badia Al-Ibtisam
people.full_names,Badr Al-Basha
people.full_names,Baha Al-Rawi
people.full_names,Bahij Al-Ghali
people.full_names,Bakr Al-Alawi
people.full_names,Bandar Al-Kanaan
people.full_names,Baraa Al-Attar
people.full_names,Bashar Al-Safi
people.full_names,Basel Al-Awlaki
people.full_names,Bassel Al-Rifai
people.full_names,Bassam Al-Badawi
people.full_names,Bassem Al-Haddad
people.full_names,Batoul Al-Halabi
people.full_names,Bilal Al-Ansari
people.full_names,Boutros Al-Ghalib
people.full_names,Bushra Al-Kuwari
people.full_names,Dalal Al-Madani
people.full_names,Dalia Al-Hilli
people.full_names,Dana Al-Jassim
people.full_names,Danya Al-Hajri
people.full_names,Dawoud Al-Iraqi
people.full_names,Deema Al-Shanfari
people.full_names,Dhafir Al-Iqbal
people.full_names,Dima Al-Farouq
people.full_names,Dina Al-Subaie
people.full_names,Dirar Al-Fasi
people.full_names,Diya Al-Badi
people.full_names,Dujan Al-Khair
people.full_names,Ehab Al-Rubaie
people.full_names,Eisa Al-Jibril
people.full_names,Elias Al-Khouri
people.full_names,Eman Al-Turki
people.full_names,Essam Al-Ghalib
people.full_names,Ezzat Al-Habsi
people.full_names,Fadi Al-Azzam
people.full_names,Fadi Al-Shami
people.full_names,Fadil Al-Jabri
people.full_names,Fadwa Al-Shehhi
people.full_names,Fahad Al-Shammari
people.full_names,Fahd Al-Haddadi
people.full_names,Faheem Al-Labib
people.full_names,Faisal Al-Otaibi
people.full_names,Fakhir Al-Aabid
people.full_names,Farah Al-Awadi
people.full_names,Farah Al-Hussein
people.full_names,Fareed Al-Jaleel
people.full_names,Fares Al-Idrisi
people.full_names,Farid Al-Abbas
people.full_names,Faris Al-Nasser
people.full_names,Fathi Al-Irfan
people.full_names,Fatima Al-Fahad
people.full_names,Fawaz Al-Jalali
people.full_names,Fawzi Al-Kibsi
people.full_names,Fikri Al-Hamdi
people.full_names,Firas Al-Kinani
people.full_names,Fouad Al-Ayoubi
people.full_names,Ghada Al-Kurdi
people.full_names,Ghaith Al-Mabrouk
people.full_names,Ghaleb Al-Malki
people.full_names,Ghali Al-Bandar
people.full_names,Ghalia Al-Busaidi
people.full_names,Ghassan Al-Kanafani
people.full_names,Ghazal Al-Hashimi
people.full_names,Ghazi Al-Waeli
people.full_names,Ghufran Al-Lamees
people.full_names,Habib Al-Zayyat
people.full_names,Habiba Al-Sayed
people.full_names,Haddad Al-Haddad
people.full_names,Hadi Al-Amiri
people.full_names,Hafiz Al-Sayed
people.full_names,Haifa Al-Majed
people.full_names,Haitham Al-Haris
people.full_names,Hakam Al-Harthy
people.full_names,Hakim Al-Makhzoumi
people.full_names,Hala Al-Najjar
people.full_names,Halim Al-Kadhim
people.full_names,Hamad Al-Khouri
people.full_names,Hamdan Al-Naimi
