key,value
metadata.version,1.3.1
metadata.last_updated,2026-05-17
metadata.author,Fadhil Akbar Cariearsa
metadata.license,MIT
metadata.category,Indonesian Fictional Names
metadata.description,A 100% fictional and copyright-free Indonesian naming dataset for universal use.
people.full_names,Aaron Setiawan
people.full_names,Abas Pratama
people.full_names,Abdi Nugraha
people.full_names,Abdul Hakim
people.full_names,Abdul Rahman
people.full_names,Abidzar Alghifari
people.full_names,Abidzar Putra
people.full_names,Abimanyu Wijaya
people.full_names,Abraham Kusuma
people.full_names,Achmad Fauzi
people.full_names,Achmad Jaelani
people.full_names,Adam Wijaya
people.full_names,Ade Saputra
people.full_names,Adelia Wulandari
people.full_names,Adhi Karyo
people.full_names,Adhiyaksa Putra
people.full_names,Adikara Falah
people.full_names,Adil Wicaksono
people.full_names,Aditya Pratama
people.full_names,Adnan Maulana
people.full_names,Affan Maulana
people.full_names,Afifah Ningsih
people.full_names,Agastya Wibowo
people.full_names,Agil Kusuma
people.full_names,Agung Nugroho
people.full_names,Agus Setiawan
people.full_names,Ahmad Damanik
people.full_names,Ahmad Zaelani
people.full_names,Aisyah Maharani
people.full_names,Ajeng Prameswari
people.full_names,Akbar Maulana
people.full_names,Aldi Syahputra
people.full_names,Aldi Tahir
people.full_names,Aldo Pratama
people.full_names,Alfian Hidayat
people.full_names,Aliando Saputra
people.full_names,Alif Rahman
people.full_names,Alika Rahmawati
people.full_names,Aliyah Safira
people.full_names,Amanda Melati
people.full_names,Amelia Putri
people.full_names,Amin Rasyid
people.full_names,Amiruddin Bagas
people.full_names,Ammar Mahendra
people.full_names,Anang Firmansyah
people.full_names,Ananda Saputra
people.full_names,Andi Manggala
people.full_names,Andika Permana
people.full_names,Andika Wibowo
people.full_names,Andini Lestari
people.full_names,Andra Ramadhan
people.full_names,Andre Triyanto
people.full_names,Angga Aldiano
people.full_names,Anggi Wulandari
people.full_names,Anindya Larasati
people.full_names,Anisa Rahma
people.full_names,Anita Hara
people.full_names,Annisa Pratiwi
people.full_names,Anton Sudirman
people.full_names,Anwar Fauzi
people.full_names,Ardi Bachtiar
people.full_names,Ardian Syafiq
people.full_names,Ari Laksono
people.full_names,Arianto Nugroho
people.full_names,Arief Yahya
people.full_names,Ario Bimo
people.full_names,Aris Irawan
people.full_names,Arjuna Pamungkas
people.full_names,Arsyad Hakim
people.full_names,Arya Saputra
people.full_names,Asep Suryana
people.full_names,Asri Wulandari
people.full_names,Aulia Nisa
people.full_names,Aulia Rahman
people.full_names,Aurelia Ningsih
people.full_names,Ayu Pratiwi
people.full_names,Ayu Tyas
people.full_names,Azis Gunawan
people.full_names,Azka Pratama
people.full_names,Bagas Haryanto
people.full_names,Bagas Kuncoro
people.full_names,Bagas Mahardika
people.full_names,Bagaskara Putra
people.full_names,Bagaskara Wijaya
people.full_names,Bagus Kurniawan
people.full_names,Bagus Setiawan
people.full_names,Baharuddin Anwar
people.full_names,Baharuddin Lubis
people.full_names,Baharuddin Siregar
people.full_names,Bahri Anwar
people.full_names,Bahrul Ulum
people.full_names,Baim Wibowo
people.full_names,Bakti Pambudi
people.full_names,Bakti Perkasa
people.full_names,Baktiar Hutagalung
people.full_names,Bambang Purnomo
people.full_names,Bambang Sudrajat
people.full_names,Bambang Suryana
people.full_names,Bani Adam
people.full_names,Bani Maulana
people.full_names,Banu Antoro
people.full_names,Banu Prasetyo
people.full_names,Banyu Baskoro
people.full_names,Banyu Biru
people.full_names,Bara Tarigan
people.full_names,Baskara Mulyadi
people.full_names,Baskoro Yudhoyono
people.full_names,Bastian Surya
people.full_names,Basuki Tjahyono
people.full_names,Bayu Adisaputra
people.full_names,Bayu Anggara
people.full_names,Bayu Firmansyah
people.full_names,Bayu Setiawan
people.full_names,Bayuaji Kusuma
people.full_names,Beby Permatasari
people.full_names,Berliana Putri
people.full_names,Bima Arya
people.full_names,Bima Aryanto
people.full_names,Bima Saputra
people.full_names,Bintang Erlangga
people.full_names,Bintang Nugroho
people.full_names,Bintang Ramadhan
people.full_names,Bobby Naufal
people.full_names,Bobby Pratama
people.full_names,Bobby Setiawan
people.full_names,Bonar Sirait
people.full_names,Boris Marpaung
people.full_names,Boy Wibowo
people.full_names,Bramantyo Kusuma
people.full_names,Budi Andika
people.full_names,Budi Santoso
people.full_names,Budi Wibowo
people.full_names,Budianto Gunawan
people.full_names,Bunga Citra
people.full_names,Bunga Larasati
people.full_names,Bunga Lestari
people.full_names,Caca Handayani
people.full_names,Cahaya Mutiara
people.full_names,Cahaya Ningsih
people.full_names,Cahaya Purnama
people.full_names,Cahya Kamila
people.full_names,Cahyadi Putra
people.full_names,Cahyani Putri
people.full_names,Cahyo Kencana
people.full_names,Cakra Kencana
people.full_names,Cakra Wibowo
people.full_names,Candra Darusman
people.full_names,Candra Kusuma
people.full_names,Candra Pambudi
people.full_names,Candra Wijaya
people.full_names,Cantika Abigail
people.full_names,Cantika Prameswari
people.full_names,Catur Pamungkas
people.full_names,Catur Prasetyo
people.full_names,Celine Kusuma
people.full_names,Chelsea Kirana
people.full_names,Chika Jessica
people.full_names,Chintya Sari
people.full_names,Cici Paramida
people.full_names,Cici Permata
people.full_names,Cici Permatasari
people.full_names,Cindy Larasati
people.full_names,Cipta Panca
people.full_names,Cipto Wibisono
people.full_names,Cita Rahayu
people.full_names,Cita Wulandari
people.full_names,Citra Kirana
people.full_names,Citra Lestari
people.full_names,Citra Maharani
people.full_names,Clara Permata
people.full_names,Clara Safira
people.full_names,Cokro Aminoto
people.full_names,Cut Mutia
people.full_names,Cut Tiara
people.full_names,Daffa Ardiansyah
people.full_names,Daffa Mahendra
people.full_names,Daffa Wardhana
people.full_names,Dahlan Iskandar
people.full_names,Damar Wibisono
people.full_names,Damar Wibowo
people.full_names,Danang Kusuma
people.full_names,Danang Sutawijaya
people.full_names,Danang Wibisono
people.full_names,Dandi Maulana
people.full_names,Dandi Saputra
people.full_names,Daniel Pratama
people.full_names,Daniel Wibisono
people.full_names,Danu Setiawan
people.full_names,Danu Umbara
people.full_names,Dara Permata
people.full_names,Dara Prameswari
people.full_names,Dara Rizki
people.full_names,Darmawan Kusuma
people.full_names,Darmawan Salihin
people.full_names,Darmawan Susanto
people.full_names,Darto Hermawan
people.full_names,Darwis Triadi
people.full_names,David Chalik
people.full_names,David Maulana
people.full_names,David Saputra
people.full_names,Davina Larasati
people.full_names,Dede Firmansyah
people.full_names,Dede Pratama
people.full_names,Dede Sunandar
people.full_names,Dede Yulianto
people.full_names,Dedi Mulyono
people.full_names,Dedi Saputra
people.full_names,Dedy Cahyadi
people.full_names,Defri Kusuma
people.full_names,Deka Pratama
people.full_names,Delia Putri
people.full_names,Deni Candra
people.full_names,Deni Saputra
people.full_names,Denny Susanto
people.full_names,Denny Wibowo
people.full_names,Dera Permata
people.full_names,Desi Anwar
people.full_names,Desi Ratna
people.full_names,Desi Wulandari
people.full_names,Desy Permatasari
people.full_names,Desy Ratnawati
people.full_names,Desta Mahardika
people.full_names,Desta Pratama
people.full_names,Devi Permatasari
people.full_names,Dewa Budjana
people.full_names,Dewi Kusuma
people.full_names,Dewi Permatasari
people.full_names,Dhea Permatasari
people.full_names,Dhimas Nugraha
people.full_names,Diah Permatasari
people.full_names,Dian Sastrowardoyo
people.full_names,Diana Putri
people.full_names,Dika Angkasaputra
people.full_names,Dika Mahendra
people.full_names,Diki Candra
people.full_names,Dimas Anggara
people.full_names,Dimas Manggala
