Key,Value
metadata.version,2.4.1
metadata.last_updated,2026-05-16
metadata.author,Fadhil Akbar Cariearsa
metadata.license,MIT
metadata.category,Japanese Fictional Names
metadata.description,A 100% fictional and copyright-free Japanese naming dataset for universal use.
people.full_names,Ai Nakamura
people.full_names,Aika Suzuki
people.full_names,Aika Takeda
people.full_names,Aiko Endo
people.full_names,Aiko Fujita
people.full_names,Aina Matsuyama
people.full_names,Airi Ota
people.full_names,Akane Kobayashi
people.full_names,Akari Hori
people.full_names,Akari Yoshimura
people.full_names,Akemi Abe
people.full_names,Akemi Nakajima
people.full_names,Akemi Sugawara
people.full_names,Akifumi Agawa
people.full_names,Akihiko Enomoto
people.full_names,Akihiko Goto
people.full_names,Akihiro Saito
people.full_names,Akiko Moriyama
people.full_names,Akimitsu Fujii
people.full_names,Akimitsu Hara
people.full_names,Akina Morita
people.full_names,Akio Adachi
people.full_names,Akio Hashimoto
people.full_names,Akio Yagi
people.full_names,Akira Akiyama
people.full_names,Akira Igarashi
people.full_names,Akira Nakagawa
people.full_names,Akira Suzuki
people.full_names,Akira Takayama
people.full_names,Akitsugu Akiba
people.full_names,Amaya Amino
people.full_names,Aoi Furukawa
people.full_names,Aoi Kitano
people.full_names,Aoi Takahashi
people.full_names,Aoiro Amori
people.full_names,Arata Inoue
people.full_names,Arisa Fujimoto
people.full_names,Arisa Harada
people.full_names,Arisa Yamazaki
people.full_names,Asahi Matsuda
people.full_names,Asami Imai
people.full_names,Asami Kondo
people.full_names,Asami Tanaka
people.full_names,Asami Yoshioka
people.full_names,Asato Nakano
people.full_names,Asuka Nakano
people.full_names,Asuka Yoshida
people.full_names,Atsuhiko Anzai
people.full_names,Atsumu Sakurai
people.full_names,Atsushi Endo
people.full_names,Atsushi Kojima
people.full_names,Atsushi Suzuki
people.full_names,Ayaka Ito
people.full_names,Ayaka Matsuoka
people.full_names,Ayaka Saito
people.full_names,Ayako Sugawara
people.full_names,Ayame Takahashi
people.full_names,Ayano Fujinami
people.full_names,Ayano Hasegawa
people.full_names,Ayano Ota
people.full_names,Ayano Watanabe
people.full_names,Ayano Yokoyama
people.full_names,Ayato Asai
people.full_names,Ayato Fujiwara
people.full_names,Ayato Morita
people.full_names,Ayato Nishimura
people.full_names,Ayato Yamamura
people.full_names,Ayumi Ishida
people.full_names,Ayumi Shibata
people.full_names,Ayumu Sasaki
people.full_names,Ayumu Tanaka
people.full_names,Ayumu Uchida
people.full_names,Azusa Araki
people.full_names,Baku Hasegawa
people.full_names,Banri Kudo
people.full_names,Benjiro Ito
people.full_names,Botan Sato
people.full_names,Bunta Nakayama
people.full_names,Bunzo Ikeda
people.full_names,Bunzo Takagi
people.full_names,Chiaki Nakagawa
people.full_names,Chidori Aoki
people.full_names,Chieko Hirano
people.full_names,Chieko Watanabe
people.full_names,Chiharu Kido
people.full_names,Chihaya Arata
people.full_names,Chihiro Kato
people.full_names,Chihiro Maruyama
people.full_names,Chika Fujinuma
people.full_names,Chika Hashimoto
people.full_names,Chika Imai
people.full_names,Chika Kawamura
people.full_names,Chika Kobayashi
people.full_names,Chika Minami
people.full_names,Chikage Hashimoto
people.full_names,Chikako Arisato
people.full_names,Chikara Matsumoto
people.full_names,Chisato Matsui
people.full_names,Chisato Noda
people.full_names,Chitose Asamitsu
people.full_names,Chiyo Doi
people.full_names,Chiyo Kudo
people.full_names,Chiyo Yamanaka
