id,full_name,first_name,last_name,gender,country
1,Adalbert von Aachen,Adalbert,von Aachen,male,Germany
2,Adalbert von Ansbach,Adalbert,von Ansbach,male,Germany
3,Adalbert von Aschaffenburg,Adalbert,von Aschaffenburg,male,Germany
4,Adalbert von Augsburg,Adalbert,von Augsburg,male,Germany
5,Adalbert von Bamberg,Adalbert,von Bamberg,male,Germany
6,Adalbert von Bautzen,Adalbert,von Bautzen,male,Germany
7,Adalbert von Bayreuth,Adalbert,von Bayreuth,male,Germany
8,Adalbert von Berlin,Adalbert,von Berlin,male,Germany
9,Adalbert von Bielefeld,Adalbert,von Bielefeld,male,Germany
10,Adalbert von Bingen,Adalbert,von Bingen,male,Germany
11,Adalbert von Bonn,Adalbert,von Bonn,male,Germany
12,Adalbert von Brandenburg,Adalbert,von Brandenburg,male,Germany
13,Adalbert von Braunschweig,Adalbert,von Braunschweig,male,Germany
14,Adalbert von Bremen,Adalbert,von Bremen,male,Germany
15,Adalbert von Chemnitz,Adalbert,von Chemnitz,male,Germany
16,Adalbert von Cleves,Adalbert,von Cleves,male,Germany
17,Adalbert von Coburg,Adalbert,von Coburg,male,Germany
18,Adalbert von Cologne,Adalbert,von Cologne,male,Germany
19,Adalbert von Cottbus,Adalbert,von Cottbus,male,Germany
20,Adalbert von Darmstadt,Adalbert,von Darmstadt,male,Germany
21,Adalbert von Detmold,Adalbert,von Detmold,male,Germany
22,Adalbert von Dillenburg,Adalbert,von Dillenburg,male,Germany
23,Adalbert von Dortmund,Adalbert,von Dortmund,male,Germany
24,Adalbert von Dresden,Adalbert,von Dresden,male,Germany
25,Adalbert von Duderstadt,Adalbert,von Duderstadt,male,Germany
26,Adalbert von Duisburg,Adalbert,von Duisburg,male,Germany
27,Adalbert von Dusseldorf,Adalbert,von Dusseldorf,male,Germany
28,Adalbert von Einbeck,Adalbert,von Einbeck,male,Germany
29,Adalbert von Eisenach,Adalbert,von Eisenach,male,Germany
30,Adalbert von Eisleben,Adalbert,von Eisleben,male,Germany
31,Adalbert von Emmerich,Adalbert,von Emmerich,male,Germany
32,Adalbert von Erfurt,Adalbert,von Erfurt,male,Germany
33,Adalbert von Essen,Adalbert,von Essen,male,Germany
34,Adalbert von Esslingen,Adalbert,von Esslingen,male,Germany
35,Adalbert von Frankfurt,Adalbert,von Frankfurt,male,Germany
36,Adalbert von Freiberg,Adalbert,von Freiberg,male,Germany
37,Adalbert von Freiburg,Adalbert,von Freiburg,male,Germany
38,Adalbert von Freising,Adalbert,von Freising,male,Germany
39,Adalbert von Fritzlar,Adalbert,von Fritzlar,male,Germany
40,Adalbert von Fulda,Adalbert,von Fulda,male,Germany
41,Adalbert von Gelnhausen,Adalbert,von Gelnhausen,male,Germany
42,Adalbert von Gorlitz,Adalbert,von Gorlitz,male,Germany
43,Adalbert von Goslar,Adalbert,von Goslar,male,Germany
44,Adalbert von Gotha,Adalbert,von Gotha,male,Germany
45,Adalbert von Gottingen,Adalbert,von Gottingen,male,Germany
46,Adalbert von Greifswald,Adalbert,von Greifswald,male,Germany
47,Adalbert von Halberstadt,Adalbert,von Halberstadt,male,Germany
48,Adalbert von Hamburg,Adalbert,von Hamburg,male,Germany
49,Adalbert von Hamelin,Adalbert,von Hamelin,male,Germany
50,Adalbert von Hanau,Adalbert,von Hanau,male,Germany
51,Adalbert von Hanover,Adalbert,von Hanover,male,Germany
52,Adalbert von Heidelberg,Adalbert,von Heidelberg,male,Germany
53,Adalbert von Heilbronn,Adalbert,von Heilbronn,male,Germany
54,Adalbert von Herford,Adalbert,von Herford,male,Germany
55,Adalbert von Hildesheim,Adalbert,von Hildesheim,male,Germany
56,Adalbert von Hof,Adalbert,von Hof,male,Germany
57,Adalbert von Ingelheim,Adalbert,von Ingelheim,male,Germany
58,Adalbert von Jena,Adalbert,von Jena,male,Germany
59,Adalbert von Kaiserslautern,Adalbert,von Kaiserslautern,male,Germany
60,Adalbert von Kassel,Adalbert,von Kassel,male,Germany
61,Adalbert von Kempten,Adalbert,von Kempten,male,Germany
62,Adalbert von Kiel,Adalbert,von Kiel,male,Germany
63,Adalbert von Koblenz,Adalbert,von Koblenz,male,Germany
64,Adalbert von Konstanz,Adalbert,von Konstanz,male,Germany
65,Adalbert von Landau,Adalbert,von Landau,male,Germany
66,Adalbert von Landshut,Adalbert,von Landshut,male,Germany
67,Adalbert von Leipzig,Adalbert,von Leipzig,male,Germany
68,Adalbert von Lemgo,Adalbert,von Lemgo,male,Germany
69,Adalbert von Lubeck,Adalbert,von Lubeck,male,Germany
70,Adalbert von Luneburg,Adalbert,von Luneburg,male,Germany
71,Adalbert von Magdeburg,Adalbert,von Magdeburg,male,Germany
72,Adalbert von Mainz,Adalbert,von Mainz,male,Germany
73,Adalbert von Marburg,Adalbert,von Marburg,male,Germany
74,Adalbert von Meissen,Adalbert,von Meissen,male,Germany
75,Adalbert von Memmingen,Adalbert,von Memmingen,male,Germany
